booking_id,passenger_id,flight_id,airport_id,seat_class,amount,currency,booking_date,booking_channel
B007027,P00527,F0181,A061,Economy,80.91,EUR,2025-09-07,travel_agency
B007028,P00800,F0247,A052,First,1289.81,EUR,2025-09-07,mobile_app
B007029,P00530,F0085,A016,Economy,180.72,GBP,2025-09-07,travel_agency
B007030,P01749,F0269,A015,First,1581.68,EUR,2025-09-07,mobile_app
B007031,P01310,F0289,A077,Economy,107.61,USD,2025-09-07,mobile_app
B007032,P00447,F0102,A067,Economy,121.44,USD,2025-09-07,website
B007033,P01698,F0328,A018,Economy,121.02,USD,2025-09-07,website
B007034,P00046,F0268,A059,Economy,132.65,EUR,2025-09-07,website
B007035,P00382,F0028,A011,Economy,174.26,EUR,2025-09-07,website
B007036,P00838,F0319,A050,Economy,155.04,EUR,2025-09-07,mobile_app
B007037,P01100,F0003,A018,Economy,76.49,GBP,2025-09-07,mobile_app
B007038,P01350,F0046,A015,Economy,86.04,USD,2025-09-07,website
B007039,P01117,F0093,A040,Economy,100.69,EUR,2025-09-07,website
B007040,P01393,F0211,A048,First,2106.47,EUR,2025-09-07,mobile_app
B007041,P01639,F0136,A004,Economy,124.49,GBP,2025-09-07,mobile_app
B007042,P01451,F0129,A064,Business,1042.44,GBP,2025-09-07,website
B007043,P00918,F0161,A052,Economy,93.91,GBP,2025-09-07,website
B007044,P01205,F0319,A050,Premium Economy,330.72,USD,2025-09-07,mobile_app
B007045,P00053,F0040,A021,Premium Economy,357.57,USD,2025-09-07,travel_agency
B007046,P01436,F0311,A023,Economy,79.86,EUR,2025-09-07,website
B007047,P00897,F0204,A024,Premium Economy,221.15,EUR,2025-09-07,website
B007048,P00737,F0067,A060,Economy,147.89,EUR,2025-09-07,mobile_app
B007049,P01408,F0070,A026,Premium Economy,393.47,EUR,2025-09-07,travel_agency
B007050,P00714,F0054,A079,Premium Economy,249.34,EUR,2025-09-07,travel_agency
B007051,P01137,F0203,A019,Economy,95.64,GBP,2025-09-07,mobile_app
B007052,P00198,F0229,A065,Economy,82.75,USD,2025-09-07,website
B007053,P01072,F0037,A015,Economy,122.27,USD,2025-09-07,website
B007054,P01753,F0307,A005,Premium Economy,208.72,EUR,2025-09-07,website
B007055,P00699,F0003,A018,Business,1273.43,EUR,2025-09-07,website
B007056,P01477,F0298,A078,Economy,110.41,GBP,2025-09-07,website
B007057,P00176,F0352,A045,Economy,98.74,GBP,2025-09-07,mobile_app
B007058,P01463,F0235,A052,Economy,144.24,USD,2025-09-07,website
B007059,P00676,F0137,A039,First,2935.8,GBP,2025-09-07,travel_agency
B007060,P01376,F0114,A070,Economy,155.72,USD,2025-09-07,call_center
B007061,P01873,F0034,A037,First,2849.19,GBP,2025-09-07,mobile_app
B007062,P01220,F0187,A017,Economy,190.32,USD,2025-09-07,call_center
B007063,P01643,F0309,A079,Economy,123.97,EUR,2025-09-07,website
B007064,P00775,F0097,A015,Economy,106.62,EUR,2025-09-07,mobile_app
B007065,P01689,F0180,A060,Premium Economy,265.11,EUR,2025-09-07,website
B007066,P01345,F0140,A048,Economy,103.74,EUR,2025-09-07,mobile_app
B007067,P00405,F0217,A057,Economy,87.07,EUR,2025-09-07,travel_agency
B007068,P00298,F0142,A028,Economy,84.44,EUR,2025-09-07,website
B007069,P01420,F0334,A032,Economy,172.04,USD,2025-09-07,website
B007070,P01454,F0265,A026,Economy,182.11,USD,2025-09-07,website
B007071,P00418,F0122,A008,Economy,85.1,EUR,2025-09-07,website
B007072,P00749,F0093,A040,Economy,140.1,USD,2025-09-07,website
B007073,P00482,F0262,A035,Premium Economy,227.83,EUR,2025-09-07,website
B007074,P00661,F0109,A029,Premium Economy,202.97,EUR,2025-09-07,mobile_app
B007075,P01404,F0106,A007,First,1697.72,EUR,2025-09-07,mobile_app
B007076,P01248,F0041,A032,Economy,193.75,GBP,2025-09-07,website
B007077,P00535,F0103,A045,Premium Economy,313.44,EUR,2025-09-07,website
B007078,P00433,F0136,A004,Business,741.23,USD,2025-09-07,mobile_app
B007079,P00221,F0088,A038,Economy,133.08,EUR,2025-09-07,mobile_app
B007080,P00302,F0074,A077,Premium Economy,186.04,GBP,2025-09-07,website
B007081,P01440,F0334,A032,Economy,104.09,USD,2025-09-07,mobile_app
B007082,P00622,F0091,A073,Business,835.38,EUR,2025-09-07,mobile_app
B007083,P00205,F0297,A058,Business,1208.44,USD,2025-09-07,mobile_app
B007084,P00361,F0045,A014,Economy,118.51,EUR,2025-09-07,mobile_app
B007085,P00660,F0056,A023,Business,746.41,EUR,2025-09-07,website
B007086,P00889,F0114,A070,Business,620.99,EUR,2025-09-07,mobile_app
B007087,P00168,F0151,A038,Business,912.28,EUR,2025-09-07,website
B007088,P01855,F0142,A028,Economy,157.93,EUR,2025-09-07,mobile_app
B007089,P00161,F0124,A031,Economy,88.01,USD,2025-09-07,mobile_app
B007090,P01853,F0216,A052,Economy,179.66,GBP,2025-09-07,travel_agency
B007091,P01570,F0092,A080,Economy,138.61,USD,2025-09-07,website
B007092,P00795,F0001,A042,Premium Economy,367.51,EUR,2025-09-07,call_center
B007093,P00289,F0221,A034,Economy,179.61,EUR,2025-09-07,mobile_app
B007094,P00134,F0089,A057,Economy,149.6,GBP,2025-09-07,mobile_app
B007095,P01767,F0230,A029,Economy,151.73,EUR,2025-09-07,mobile_app
B007096,P00529,F0288,A015,Economy,133.92,EUR,2025-09-07,travel_agency
B007097,P00295,F0061,A020,Economy,152.41,EUR,2025-09-07,travel_agency
B007098,P00669,F0234,A004,First,2686.54,EUR,2025-09-07,travel_agency
B007099,P01398,F0225,A047,Economy,101.48,USD,2025-09-07,travel_agency
B007100,P01187,F0142,A028,Economy,182.0,EUR,2025-09-07,website
B007101,P01802,F0175,A019,Economy,124.69,USD,2025-09-07,website
B007102,P00266,F0153,A013,Economy,116.83,USD,2025-09-07,website
B007103,P00837,F0183,A047,Economy,157.33,EUR,2025-09-07,mobile_app
B007104,P00991,F0334,A032,Economy,167.22,EUR,2025-09-07,website
B007105,P01222,F0110,A035,Economy,196.96,EUR,2025-09-07,website
B007106,P00736,F0161,A052,Economy,139.51,USD,2025-09-07,website
B007107,P01195,F0300,A032,Economy,130.37,USD,2025-09-07,website
B007108,P00803,F0265,A026,Economy,160.66,USD,2025-09-07,website
B007109,P01381,F0174,A066,Premium Economy,480.38,EUR,2025-09-07,mobile_app
B007110,P00362,F0103,A045,Economy,135.33,EUR,2025-09-07,mobile_app
B007111,P00896,F0061,A020,First,1846.99,EUR,2025-09-07,mobile_app
B007112,P00711,F0309,A079,Premium Economy,476.99,USD,2025-09-07,travel_agency
B007113,P01116,F0026,A068,Economy,137.69,EUR,2025-09-07,travel_agency
B007114,P01055,F0067,A060,Economy,124.04,USD,2025-09-07,website
B007115,P01394,F0297,A058,Premium Economy,222.34,EUR,2025-09-07,mobile_app
B007116,P01141,F0144,A077,Economy,97.75,USD,2025-09-07,mobile_app
B007117,P01791,F0115,A030,Economy,143.31,EUR,2025-09-07,website
B007118,P00635,F0038,A056,Economy,163.0,GBP,2025-09-07,website
B007119,P00798,F0208,A062,Economy,90.53,GBP,2025-09-07,mobile_app
B007120,P00068,F0187,A017,Economy,110.96,GBP,2025-09-07,website
B007121,P01256,F0346,A044,Premium Economy,388.74,GBP,2025-09-07,travel_agency
B007122,P01884,F0105,A042,Economy,130.2,EUR,2025-09-07,travel_agency
B007123,P01855,F0121,A013,Economy,171.46,USD,2025-09-07,website
B007124,P00158,F0315,A056,Economy,156.05,EUR,2025-09-07,website
B007125,P01627,F0339,A011,Economy,193.74,EUR,2025-09-07,travel_agency
B007126,P01646,F0012,A069,Economy,172.8,EUR,2025-09-07,call_center
B007127,P01441,F0211,A048,Economy,77.26,EUR,2025-09-07,mobile_app
B007128,P00314,F0258,A039,Economy,143.01,EUR,2025-09-07,mobile_app
B007129,P01386,F0165,A045,Economy,98.54,EUR,2025-09-07,website
B007130,P00132,F0356,A077,Economy,170.66,EUR,2025-09-07,website
B007131,P01820,F0349,A001,Premium Economy,230.36,USD,2025-09-07,mobile_app
B007132,P00493,F0192,A037,Economy,132.68,EUR,2025-09-07,mobile_app
B007133,P01866,F0132,A070,Economy,134.31,EUR,2025-09-07,travel_agency
B007134,P01067,F0163,A011,Economy,107.68,EUR,2025-09-07,website
B007135,P00504,F0103,A045,Economy,169.88,GBP,2025-09-07,mobile_app
B007136,P01728,F0160,A035,Business,897.08,EUR,2025-09-07,travel_agency
B007137,P01102,F0109,A029,Premium Economy,237.55,EUR,2025-09-07,website
B007138,P00241,F0047,A069,Economy,125.2,EUR,2025-09-07,mobile_app
B007139,P01468,F0133,A038,Premium Economy,256.99,USD,2025-09-07,website
B007140,P00498,F0331,A051,Premium Economy,445.32,EUR,2025-09-07,call_center
B007141,P01468,F0251,A040,Premium Economy,448.3,GBP,2025-09-07,website
B007142,P01491,F0355,A064,Premium Economy,394.27,EUR,2025-09-07,travel_agency
B007143,P01427,F0235,A052,Economy,175.04,USD,2025-09-07,website
B007144,P01594,F0275,A016,Economy,120.25,EUR,2025-09-07,website
B007145,P00451,F0099,A039,Economy,80.45,GBP,2025-09-07,mobile_app
B007146,P00233,F0329,A036,Premium Economy,383.95,USD,2025-09-07,travel_agency
B007147,P00125,F0281,A073,Premium Economy,223.51,GBP,2025-09-07,travel_agency
B007148,P00818,F0288,A015,Economy,197.65,USD,2025-09-07,travel_agency
B007149,P01674,F0349,A001,Economy,156.44,EUR,2025-09-07,mobile_app
B007150,P00733,F0165,A045,Economy,125.31,EUR,2025-09-07,website
B007151,P01348,F0037,A015,Economy,95.85,EUR,2025-09-07,travel_agency
B007152,P00510,F0097,A015,Economy,146.57,USD,2025-09-07,website
B007153,P01311,F0159,A080,Premium Economy,224.3,USD,2025-09-07,website
B007154,P00462,F0322,A075,Economy,80.86,USD,2025-09-07,mobile_app
B007155,P01196,F0136,A004,Economy,77.59,USD,2025-09-07,mobile_app
B007156,P01525,F0322,A075,Premium Economy,323.61,USD,2025-09-07,website
B007157,P00483,F0126,A076,Economy,144.62,USD,2025-09-07,call_center
B007158,P01695,F0047,A069,Economy,162.46,EUR,2025-09-07,website
B007159,P00787,F0269,A015,Economy,194.24,EUR,2025-09-07,website
B007160,P00108,F0154,A061,Economy,180.25,USD,2025-09-07,mobile_app
