booking_id,passenger_id,flight_id,airport_id,seat_class,amount,currency,booking_date,booking_channel
B031157,P00631,F0449,A030,Business,885.48,EUR,2025-09-25,website
B031158,P00974,F0579,A052,Economy,136.46,USD,2025-09-25,website
B031159,P01887,F0570,A064,Premium Economy,341.49,GBP,2025-09-25,travel_agency
B031160,P00467,F0053,A031,First,2436.86,GBP,2025-09-25,website
B031161,P01945,F0533,A013,Economy,99.11,EUR,2025-09-25,mobile_app
B031162,P02150,F0133,A038,Premium Economy,249.25,USD,2025-09-25,mobile_app
B031163,P00391,F0559,A018,Economy,159.58,EUR,2025-09-25,website
B031164,P00622,F0155,A017,Economy,130.88,EUR,2025-09-25,website
B031165,P00511,F0316,A073,Economy,169.66,EUR,2025-09-25,website
B031166,P01114,F0405,A049,Economy,118.98,USD,2025-09-25,mobile_app
B031167,P00418,F0497,A074,Economy,184.58,USD,2025-09-25,travel_agency
B031168,P01061,F0580,A004,Business,964.62,USD,2025-09-25,website
B031169,P01424,F0288,A015,Business,1094.75,EUR,2025-09-25,website
B031170,P01365,F0470,A030,Economy,76.23,USD,2025-09-25,mobile_app
B031171,P01349,F0486,A005,Economy,130.34,EUR,2025-09-25,mobile_app
B031172,P00397,F0478,A053,Economy,188.34,EUR,2025-09-25,call_center
B031173,P01021,F0059,A067,Business,793.83,EUR,2025-09-25,mobile_app
B031174,P00872,F0581,A031,Premium Economy,355.06,EUR,2025-09-25,call_center
B031175,P00596,F0491,A017,Economy,121.05,USD,2025-09-25,website
B031176,P02094,F0286,A001,Economy,78.44,GBP,2025-09-25,mobile_app
B031177,P00700,F0114,A070,Premium Economy,394.8,GBP,2025-09-25,website
B031178,P02059,F0538,A003,Economy,156.18,USD,2025-09-25,travel_agency
B031179,P00797,F0224,A047,Premium Economy,377.39,EUR,2025-09-25,website
B031180,P01545,F0548,A015,Economy,143.65,USD,2025-09-25,mobile_app
B031181,P00452,F0133,A038,Business,986.36,EUR,2025-09-25,travel_agency
B031182,P01233,F0334,A032,Economy,181.65,EUR,2025-09-25,travel_agency
B031183,P01398,F0499,A030,Economy,136.32,EUR,2025-09-25,mobile_app
B031184,P01287,F0501,A050,Economy,110.16,USD,2025-09-25,mobile_app
B031185,P01233,F0477,A026,Economy,119.61,EUR,2025-09-25,call_center
B031186,P01667,F0387,A010,First,2843.05,USD,2025-09-25,website
