booking_id,passenger_id,flight_id,airport_id,seat_class,amount,currency,booking_date,booking_channel
B000481,P01688,F0085,A016,Economy,131.71,EUR,2025-09-01,website
B000482,P00012,F0242,A037,Economy,111.29,EUR,2025-09-01,mobile_app
B000483,P00194,F0277,A028,Economy,79.7,EUR,2025-09-01,website
B000484,P01799,F0181,A061,Economy,100.48,USD,2025-09-01,travel_agency
B000485,P01767,F0141,A046,Economy,125.7,USD,2025-09-01,website
B000486,P00522,F0394,A048,Economy,142.7,USD,2025-09-01,website
B000487,P01486,F0305,A044,Economy,99.27,EUR,2025-09-01,mobile_app
B000488,P01192,F0065,A044,Premium Economy,374.61,EUR,2025-09-01,mobile_app
B000489,P01643,F0305,A044,Economy,164.9,USD,2025-09-01,travel_agency
B000490,P01594,F0108,A078,Economy,101.21,EUR,2025-09-01,travel_agency
B000491,P00338,F0316,A073,Economy,131.91,EUR,2025-09-01,website
B000492,P01643,F0027,A031,Economy,127.4,USD,2025-09-01,website
B000493,P00494,F0258,A039,Premium Economy,348.52,EUR,2025-09-01,website
B000494,P01707,F0244,A052,Economy,137.77,USD,2025-09-01,travel_agency
B000495,P01287,F0110,A035,Business,1278.58,USD,2025-09-01,travel_agency
B000496,P01413,F0288,A015,Economy,171.41,USD,2025-09-01,mobile_app
B000497,P00365,F0224,A047,Premium Economy,183.79,EUR,2025-09-01,mobile_app
B000498,P00869,F0345,A058,Economy,98.94,USD,2025-09-01,call_center
B000499,P00367,F0098,A022,Economy,189.58,GBP,2025-09-01,website
B000500,P00012,F0186,A051,Economy,145.86,EUR,2025-09-01,travel_agency
B000501,P00027,F0130,A018,Economy,148.45,EUR,2025-09-01,website
B000502,P01414,F0247,A052,Economy,160.74,EUR,2025-09-01,website
B000503,P01757,F0294,A054,Premium Economy,397.15,EUR,2025-09-01,mobile_app
B000504,P00959,F0234,A004,Economy,166.49,USD,2025-09-01,mobile_app
B000505,P00060,F0054,A079,Economy,149.23,USD,2025-09-01,mobile_app
B000506,P00270,F0091,A073,Business,595.37,USD,2025-09-01,website
B000507,P00128,F0229,A065,Economy,111.59,GBP,2025-09-01,website
B000508,P01500,F0100,A006,Premium Economy,181.14,USD,2025-09-01,travel_agency
B000509,P00347,F0163,A011,Business,1344.21,USD,2025-09-01,call_center
B000510,P01350,F0266,A069,Economy,122.8,USD,2025-09-01,mobile_app
B000511,P01549,F0034,A037,Economy,135.19,USD,2025-09-01,website
B000512,P01236,F0229,A065,Economy,97.03,USD,2025-09-01,website
