booking_id,passenger_id,flight_id,airport_id,seat_class,amount,currency,booking_date,booking_channel
B012536,P00092,F0111,A025,First,1644.75,USD,2025-09-10,website
B012537,P01139,F0355,A024,Economy,131.01,EUR,2025-09-10,travel_agency
B012538,P01688,F0169,A046,Business,1077.69,EUR,2025-09-10,mobile_app
B012539,P00070,F0079,A049,Economy,136.26,GBP,2025-09-10,call_center
B012540,P00456,F0112,A065,Premium Economy,441.59,USD,2025-09-10,mobile_app
B012541,P00705,F0151,A038,Economy,168.51,USD,2025-09-10,travel_agency
B012542,P00280,F0039,A032,Economy,197.27,USD,2025-09-10,website
B012543,P00651,F0086,A076,Business,1321.05,EUR,2025-09-10,travel_agency
B012544,P00390,F0326,A071,Economy,127.3,EUR,2025-09-10,mobile_app
B012545,P01913,F0094,A028,Premium Economy,379.02,USD,2025-09-10,mobile_app
B012546,P01231,F0347,A072,Premium Economy,277.57,USD,2025-09-10,mobile_app
B012547,P00597,F0349,A001,Economy,124.88,EUR,2025-09-10,mobile_app
B012548,P01756,F0029,A041,Economy,89.13,EUR,2025-09-10,mobile_app
B012549,P01535,F0235,A052,Economy,118.6,USD,2025-09-10,mobile_app
B012550,P01008,F0153,A013,Economy,181.03,EUR,2025-09-10,website
B012551,P00574,F0040,A021,Economy,187.74,GBP,2025-09-10,travel_agency
B012552,P01571,F0270,A044,Economy,90.59,GBP,2025-09-10,travel_agency
B012553,P01822,F0311,A023,Economy,179.23,GBP,2025-09-10,call_center
B012554,P00271,F0131,A017,Economy,197.1,USD,2025-09-10,website
B012555,P01889,F0118,A020,Premium Economy,236.5,EUR,2025-09-10,mobile_app
B012556,P00064,F0128,A038,Economy,109.93,USD,2025-09-10,website
B012557,P00729,F0020,A044,Economy,99.31,EUR,2025-09-10,website
B012558,P00964,F0127,A062,Premium Economy,472.42,GBP,2025-09-10,mobile_app
B012559,P00951,F0092,A080,Economy,91.34,EUR,2025-09-10,travel_agency
B012560,P01830,F0136,A004,Economy,93.09,EUR,2025-09-10,travel_agency
B012561,P00541,F0379,A018,Premium Economy,264.34,GBP,2025-09-10,mobile_app
B012562,P00300,F0280,A012,Business,1100.58,USD,2025-09-10,website
B012563,P00631,F0268,A059,Economy,172.53,EUR,2025-09-10,website
B012564,P00794,F0354,A019,Economy,117.93,USD,2025-09-10,mobile_app
B012565,P00219,F0414,A039,Economy,193.62,GBP,2025-09-10,website
