booking_id,passenger_id,flight_id,airport_id,seat_class,amount,currency,booking_date,booking_channel
B017104,P01639,F0172,A014,Business,1324.12,USD,2025-09-15,travel_agency
B017105,P00621,F0152,A028,Economy,112.13,EUR,2025-09-15,mobile_app
B017106,P01834,F0149,A014,Economy,116.38,EUR,2025-09-15,travel_agency
B017107,P01575,F0018,A061,Economy,195.32,EUR,2025-09-15,mobile_app
B017108,P01516,F0030,A010,Economy,86.32,EUR,2025-09-15,call_center
B017109,P00714,F0039,A032,Economy,195.97,USD,2025-09-15,mobile_app
B017110,P01364,F0245,A050,Economy,189.99,EUR,2025-09-15,mobile_app
B017111,P01044,F0031,A065,Economy,127.68,EUR,2025-09-15,website
B017112,P01981,F0340,A073,Business,745.62,EUR,2025-09-15,website
B017113,P00751,F0010,A001,Economy,119.84,EUR,2025-09-15,mobile_app
B017114,P00693,F0207,A043,Economy,185.36,GBP,2025-09-15,mobile_app
B017115,P00862,F0075,A065,Economy,154.33,EUR,2025-09-15,mobile_app
B017116,P00866,F0057,A060,Economy,124.21,USD,2025-09-15,travel_agency
B017117,P00761,F0277,A028,Economy,171.03,USD,2025-09-15,website
B017118,P00311,F0152,A028,Economy,166.69,USD,2025-09-15,mobile_app
B017119,P00543,F0273,A075,Economy,186.46,EUR,2025-09-15,call_center
B017120,P01717,F0080,A034,Economy,194.05,EUR,2025-09-15,mobile_app
B017121,P00545,F0213,A078,Economy,144.25,EUR,2025-09-15,website
B017122,P00679,F0238,A060,Economy,182.83,EUR,2025-09-15,website
B017123,P00883,F0338,A069,Business,531.68,USD,2025-09-15,mobile_app
B017124,P01226,F0342,A051,Economy,82.91,EUR,2025-09-15,website
B017125,P01426,F0108,A078,Economy,119.71,USD,2025-09-15,mobile_app
B017126,P01099,F0192,A037,Economy,187.36,EUR,2025-09-15,mobile_app
B017127,P01766,F0048,A016,Economy,112.35,GBP,2025-09-15,website
B017128,P00047,F0351,A032,Economy,81.09,USD,2025-09-15,website
B017129,P01568,F0228,A067,Business,545.45,EUR,2025-09-15,mobile_app
B017130,P00719,F0156,A046,Economy,168.18,EUR,2025-09-15,mobile_app
B017131,P01343,F0045,A014,Economy,173.83,USD,2025-09-15,website
B017132,P00359,F0111,A025,First,1497.46,USD,2025-09-15,mobile_app
B017133,P01401,F0051,A075,Economy,165.11,EUR,2025-09-15,mobile_app
B017134,P00620,F0252,A007,Economy,154.84,EUR,2025-09-15,mobile_app
B017135,P01020,F0254,A054,Economy,85.17,EUR,2025-09-15,website
B017136,P01258,F0312,A033,Economy,110.57,EUR,2025-09-15,website
B017137,P01590,F0199,A061,Business,1076.93,GBP,2025-09-15,website
B017138,P01312,F0232,A020,Economy,93.82,EUR,2025-09-15,website
B017139,P01573,F0250,A073,Economy,101.85,USD,2025-09-15,website
B017140,P01285,F0224,A047,Economy,134.98,USD,2025-09-15,website
B017141,P01929,F0230,A029,Economy,158.94,GBP,2025-09-15,call_center
B017142,P01547,F0245,A050,Economy,193.77,EUR,2025-09-15,mobile_app
B017143,P01805,F0075,A065,Economy,139.21,USD,2025-09-15,call_center
B017144,P01998,F0252,A007,Economy,113.19,EUR,2025-09-15,call_center
B017145,P01051,F0046,A015,Business,563.53,EUR,2025-09-15,call_center
B017146,P00871,F0129,A064,Economy,131.49,GBP,2025-09-15,mobile_app
B017147,P01009,F0275,A016,Economy,136.25,EUR,2025-09-15,call_center
B017148,P01844,F0117,A057,Economy,92.34,EUR,2025-09-15,mobile_app
B017149,P00206,F0317,A005,Economy,84.19,EUR,2025-09-15,website
B017150,P00711,F0165,A045,First,2679.23,EUR,2025-09-15,mobile_app
B017151,P02005,F0135,A048,Economy,144.02,GBP,2025-09-15,website
B017152,P00856,F0103,A045,Economy,183.48,EUR,2025-09-15,website
B017153,P00918,F0107,A035,Business,879.7,EUR,2025-09-15,website
B017154,P01737,F0097,A015,Economy,99.06,USD,2025-09-15,mobile_app
B017155,P01913,F0092,A080,Business,520.64,GBP,2025-09-15,website
B017156,P01660,F0345,A058,Economy,184.04,USD,2025-09-15,mobile_app
B017157,P00822,F0125,A002,Economy,80.34,EUR,2025-09-15,website
B017158,P00296,F0315,A056,Premium Economy,223.88,GBP,2025-09-15,mobile_app
B017159,P01084,F0287,A049,Economy,114.66,USD,2025-09-15,mobile_app
B017160,P00954,F0287,A049,Economy,190.51,USD,2025-09-15,travel_agency
B017161,P02006,F0210,A033,Business,793.65,USD,2025-09-15,website
B017162,P01043,F0142,A028,Premium Economy,281.47,USD,2025-09-15,travel_agency
B017163,P01192,F0238,A060,Premium Economy,244.11,EUR,2025-09-15,website
B017164,P01569,F0352,A045,Premium Economy,243.39,EUR,2025-09-15,website
B017165,P00353,F0286,A001,Premium Economy,213.43,USD,2025-09-15,travel_agency
B017166,P01416,F0147,A047,Economy,80.06,EUR,2025-09-15,travel_agency
B017167,P01340,F0005,A007,Economy,139.73,EUR,2025-09-15,mobile_app
B017168,P01146,F0090,A063,Premium Economy,306.11,GBP,2025-09-15,mobile_app
B017169,P01275,F0173,A040,Economy,135.59,USD,2025-09-15,mobile_app
B017170,P00510,F0215,A058,Premium Economy,417.47,USD,2025-09-15,website
B017171,P01436,F0226,A012,Economy,103.75,EUR,2025-09-15,travel_agency
B017172,P00342,F0324,A040,Premium Economy,247.02,EUR,2025-09-15,mobile_app
B017173,P00191,F0235,A052,Business,926.69,EUR,2025-09-15,website
B017174,P01657,F0121,A013,First,1781.56,USD,2025-09-15,mobile_app
B017175,P00845,F0238,A060,Economy,185.86,GBP,2025-09-15,website
B017176,P00370,F0148,A067,Premium Economy,231.37,USD,2025-09-15,website
B017177,P01464,F0218,A073,Business,621.51,USD,2025-09-15,mobile_app
B017178,P00453,F0019,A053,Economy,134.06,USD,2025-09-15,travel_agency
B017179,P01186,F0031,A065,Premium Economy,378.47,EUR,2025-09-15,call_center
B017180,P00299,F0041,A032,Economy,120.26,USD,2025-09-15,website
B017181,P01242,F0058,A071,Economy,118.41,USD,2025-09-15,travel_agency
B017182,P01656,F0182,A023,Business,650.66,EUR,2025-09-15,mobile_app
B017183,P01688,F0036,A017,First,1342.62,GBP,2025-09-15,travel_agency
B017184,P00106,F0356,A077,Economy,188.03,USD,2025-09-15,travel_agency
B017185,P00547,F0078,A032,Economy,175.57,USD,2025-09-15,website
B017186,P00928,F0278,A073,Economy,123.15,USD,2025-09-15,website
B017187,P00441,F0187,A017,Economy,128.07,USD,2025-09-15,mobile_app
B017188,P00043,F0124,A031,Economy,178.95,EUR,2025-09-15,mobile_app
B017189,P01156,F0179,A048,Business,1178.36,GBP,2025-09-15,website
B017190,P00233,F0280,A012,Economy,140.47,EUR,2025-09-15,website
B017191,P01805,F0349,A001,Premium Economy,475.3,GBP,2025-09-15,travel_agency
B017192,P01593,F0116,A020,Economy,128.7,EUR,2025-09-15,call_center
B017193,P01169,F0123,A073,Economy,137.01,EUR,2025-09-15,website
B017194,P00745,F0113,A063,Economy,190.5,EUR,2025-09-15,travel_agency
B017195,P01887,F0003,A018,Economy,87.37,USD,2025-09-15,website
B017196,P01131,F0202,A064,Business,1101.31,USD,2025-09-15,mobile_app
B017197,P01916,F0275,A016,Economy,147.76,EUR,2025-09-15,travel_agency
B017198,P01094,F0016,A008,Economy,161.17,USD,2025-09-15,website
B017199,P01846,F0098,A022,Business,605.6,USD,2025-09-15,travel_agency
B017200,P01776,F0103,A045,Business,609.89,EUR,2025-09-15,website
B017201,P00182,F0013,A078,Economy,137.75,USD,2025-09-15,travel_agency
B017202,P00206,F0120,A080,Economy,141.59,EUR,2025-09-15,website
B017203,P00557,F0224,A047,Economy,94.65,GBP,2025-09-15,call_center
B017204,P01206,F0044,A069,Economy,147.96,USD,2025-09-15,website
B017205,P01784,F0179,A048,Business,940.35,GBP,2025-09-15,website
B017206,P01334,F0346,A044,Premium Economy,475.7,USD,2025-09-15,website
B017207,P01919,F0313,A032,Economy,98.18,EUR,2025-09-15,mobile_app
B017208,P01643,F0105,A042,Premium Economy,286.09,EUR,2025-09-15,website
B017209,P00858,F0110,A035,Premium Economy,454.66,USD,2025-09-15,website
B017210,P01719,F0026,A068,Premium Economy,406.6,USD,2025-09-15,website
B017211,P00932,F0141,A046,Premium Economy,179.82,EUR,2025-09-15,mobile_app
B017212,P01084,F0280,A012,Economy,98.56,EUR,2025-09-15,call_center
B017213,P01104,F0230,A029,Economy,116.92,USD,2025-09-15,website
B017214,P00823,F0091,A073,Business,1268.58,USD,2025-09-15,travel_agency
B017215,P00741,F0022,A070,Premium Economy,265.7,EUR,2025-09-15,website
B017216,P00924,F0178,A008,Economy,190.78,EUR,2025-09-15,website
B017217,P01460,F0045,A014,Economy,186.36,USD,2025-09-15,website
B017218,P00564,F0042,A026,Premium Economy,331.03,GBP,2025-09-15,website
