booking_id,passenger_id,flight_id,airport_id,seat_class,amount,currency,booking_date,booking_channel
B032444,P00383,F0072,A014,Economy,83.94,USD,2025-09-28,website
B032445,P00962,F0296,A068,First,1566.33,EUR,2025-09-28,call_center
B032446,P00021,F0244,A052,Economy,165.35,USD,2025-09-28,travel_agency
B032447,P02126,F0078,A032,Economy,144.75,EUR,2025-09-28,website
B032448,P01853,F0253,A032,Economy,146.52,EUR,2025-09-28,mobile_app
B032449,P01918,F0302,A013,Premium Economy,386.63,EUR,2025-09-28,travel_agency
B032450,P01295,F0107,A035,Business,1366.45,GBP,2025-09-28,website
B032451,P02183,F0258,A039,Business,1032.39,EUR,2025-09-28,travel_agency
B032452,P01927,F0114,A070,Economy,77.28,USD,2025-09-28,website
B032453,P01722,F0315,A056,Economy,80.94,EUR,2025-09-28,website
B032454,P00231,F0289,A077,Economy,114.34,USD,2025-09-28,mobile_app
B032455,P01586,F0167,A028,Economy,89.77,EUR,2025-09-28,mobile_app
B032456,P01589,F0363,A046,Economy,106.89,EUR,2025-09-28,website
B032457,P00690,F0257,A034,Economy,162.38,GBP,2025-09-28,travel_agency
B032458,P01895,F0050,A073,Economy,82.74,EUR,2025-09-28,website
B032459,P01557,F0194,A026,Economy,132.03,GBP,2025-09-28,website
B032460,P02178,F0340,A073,Premium Economy,422.97,USD,2025-09-28,website
B032461,P00490,F0163,A011,Economy,128.37,EUR,2025-09-28,call_center
B032462,P00270,F0185,A078,Business,806.39,USD,2025-09-28,website
B032463,P01060,F0026,A068,Premium Economy,470.19,EUR,2025-09-28,website
B032464,P01309,F0351,A032,Business,1224.25,EUR,2025-09-28,website
B032465,P01687,F0236,A062,Economy,111.06,EUR,2025-09-28,website
B032466,P01872,F0034,A037,Economy,186.86,EUR,2025-09-28,website
B032467,P01259,F0121,A013,Economy,104.5,EUR,2025-09-28,mobile_app
B032468,P02109,F0195,A014,Premium Economy,242.1,GBP,2025-09-28,travel_agency
B032469,P01498,F0114,A070,Economy,122.31,GBP,2025-09-28,website
B032470,P01496,F0265,A026,Economy,159.35,USD,2025-09-28,website
B032471,P01079,F0359,A031,Economy,134.13,EUR,2025-09-28,website
B032472,P02149,F0145,A004,Economy,182.37,GBP,2025-09-28,travel_agency
B032473,P00902,F0220,A015,Economy,107.43,USD,2025-09-28,mobile_app
B032474,P01803,F0084,A046,Economy,138.44,USD,2025-09-28,website
B032475,P00135,F0181,A061,Economy,137.57,EUR,2025-09-28,website
B032476,P01545,F0142,A028,Premium Economy,393.0,EUR,2025-09-28,travel_agency
B032477,P00826,F0295,A029,Economy,197.66,USD,2025-09-28,travel_agency
B032478,P00416,F0063,A062,Economy,119.58,USD,2025-09-28,website
